departure,destination,date,zone,time,times,prices,transit
首都国际机场,希思罗机场,2021/1/16,朝阳区,33h50m,2,4026,香港机场、迪拜机场
首都国际机场,希思罗机场,2021/1/16,朝阳区,16h,1,6422,巴黎
首都国际机场,希思罗机场,2021/1/16,朝阳区,27h15m,1,6434,巴黎
首都国际机场,希思罗机场,2021/1/16,朝阳区,21h35m,2,13452,戴高乐机场、史基普机场
首都国际机场,希思罗机场,2021/1/16,朝阳区,21h35m,2,13452,戴高乐机场、史基普机场
首都国际机场,希思罗机场,2021/1/16,朝阳区,21h35m,2,13452,戴高乐机场、史基普机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,36h25m,2,3967,香港机场、迪拜机场
大兴国际机场,希思罗机场,2021/1/17,大兴区,31h55m,2,4244,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,26h45m,2,4376,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,25h45m,2,4376,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,24h45m,2,4376,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,23h45m,2,4376,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,30h5m,2,9463,白云机场（广州机场）、哈马德机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,29h20m,2,9463,白云机场（广州机场）、哈马德机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,27h25m,2,9463,白云机场（广州机场）、哈马德机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,26h25m,2,9463,白云机场（广州机场）、哈马德机场
大兴国际机场,希思罗机场,2021/1/17,大兴区,26h25m,2,25616,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/17,朝阳区,22h45m,2,25616,浦东机场、维也纳机场
首都国际机场,希思罗机场,2021/1/18,朝阳区,18h25m,1,3225,阿布扎比
首都国际机场,希思罗机场,2021/1/18,朝阳区,25h30m,1,3225,阿布扎比
首都国际机场,伦敦城机场,2021/1/18,朝阳区,13h5m,1,5414,阿姆斯特丹
首都国际机场,希思罗机场,2021/1/18,朝阳区,15h40m,1,5414,阿姆斯特丹
首都国际机场,希思罗机场,2021/1/18,朝阳区,21h,1,5414,阿姆斯特丹
首都国际机场,希思罗机场,2021/1/18,朝阳区,15h5m,1,5735,布鲁塞尔
首都国际机场,希思罗机场,2021/1/18,朝阳区,15h5m,1,8583,布鲁塞尔
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,33h25m,2,4119,香港机场、迪拜机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,39h25m,2,6220,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,39h25m,2,6220,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,39h25m,2,6220,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,22h5m,2,13152,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,22h5m,2,13152,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,22h5m,2,13152,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,22h5m,2,13152,戴高乐机场、史基普机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,33h30m,2,25871,维也纳机场、法兰克福机场
首都国际机场,曼彻斯特机场,2021/1/16,朝阳区,33h30m,2,25871,维也纳机场、法兰克福机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,36h,2,4119,香港机场、迪拜机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,36h,2,8135,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,35h15m,2,8135,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,33h20m,2,8135,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,32h20m,2,8135,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,43h45m,2,8159,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,43h,2,8159,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,41h5m,2,8159,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/17,朝阳区,40h5m,2,8159,白云机场（广州机场）、哈马德机场
首都国际机场,曼彻斯特机场,2021/1/18,朝阳区,18h25m,1,4530,阿布扎比机场
首都国际机场,曼彻斯特机场,2021/1/18,朝阳区,14h50m,1,5576,阿姆斯特丹机场
首都国际机场,曼彻斯特机场,2021/1/18,朝阳区,21h30m,1,5576,阿姆斯特丹机场
首都国际机场,曼彻斯特机场,2021/1/18,朝阳区,15h15m,1,5576,布鲁塞尔
首都国际机场,曼彻斯特机场,2021/1/18,朝阳区,15h1m,1,8583,布鲁塞尔
首都国际机场,爱丁堡机场,2021/1/16,朝阳区,21h45m,2,13652,戴高乐机场、史基普机场
